SOLD TO PARTY,SALES ORG
10894,ZDOM
13428,ZDOM
11889,ZDOM
12079,ZDOM
11071,ZDO1M
13171,ZDOM
13551,ZDOM
13171,ZDOM
10813,ZDOM
11653,ZDOM
12893,ZDOM
12079,ZDOM
11978,ZDOM
13180,ZDOM
12182,ZDOM
12001,ZDOM
11980,ZDOM
12755,ZDOM
11256,ZDOM
10972,ZDOM44
12019,ZDOM
13219,ZDOM
13526,ZDOM
11568,ZDOM
12004,ZDOM
12970,ZDOM
12959,ZDOM
13024,ZDOM
12079,ZDOM
11747,ZDOM
13218,ZDOM
13220,ZDOM
11407,ZDOM
10851,ZDOM
11777,ZDOM
11236,ZDOM
10975,ZDOM
13026,ZDOM
12773,ZDOM
11306,ZDOM
11363,ZDOM
13598,ZDOM
11778,ZDOM
12008,ZDOM
11903,ZDOM
13428,ZDOM
10894,ZDOM
11889,ZDOM
13428,ZDOM
12079,ZDOM
12079,ZDOM
12079,ZDOM
13551,ZDOM
12909,ZDOM
13404,ZDOM
10966,ZDOM
11956,ZDOM
11140,ZDOM
11221,ZDOM
13404,ZDOM
11956,ZDOM
13570,ZDOM
12022,ZDOM
11542,ZDOM
13001,ZDOM
11989,ZDOM
13097,ZDOM
13219,ZDOM
10955,ZDOM
10794,ZDOM
10877,ZDOM
13216,ZDOM
12889,ZDOM
12969,ZDOM
11827,ZDOM
12909,ZDOM
11221,ZDOM
11956,ZDOM
11708,ZDOM
12006,ZDOM
11926,ZDOM
12022,ZDOM
13428,ZDOM
12833,ZDOM
12164,ZDOM
12887,ZDOM
11996,ZDOM
13130,ZDOM
13643,ZDOM
10904,ZDOM
11933,ZDOM
11301,ZDOM
13039,ZDOM
10966,ZDOM
11787,ZDOM
12865,ZDOM
11588,ZDOM
11989,ZDOM
11956,ZDOM
10826,ZDOM
11071,ZDOM
11672,ZDOM
11221,ZDOM
12182,ZDOM
10794,ZDOM
11201,ZDOM
11934,ZDOM
11555,ZDOM
10744,ZDOM
12481,ZDOM
12637,ZDOM
11407,ZDOM
12042,ZDOM
